choices,scores
10 12 16 17 18 ,1.0
4 6 8 9 10 11 12 13 14 17 18 ,0.9937369519832986
10 12 16 ,1.0
5 7 10 13 16 ,0.7599164926931107
4 5 6 7 8 9 10 11 12 13 14 15 16 18 ,0.6784968684759917
4 9 10 13 15 16 18 ,0.9937369519832986
7 9 11 14 ,0.9582463465553236
4 5 6 8 9 10 11 12 13 15 16 17 18 ,0.8997912317327766
5 6 7 8 9 11 12 14 15 16 18 ,0.8705636743215032
4 5 6 7 9 10 14 15 17 ,0.7661795407098121
10 12 14 ,1.0
11 ,1.0
4 5 6 7 8 9 10 11 12 13 14 15 16 18 ,0.6784968684759917
4 6 11 13 ,0.9937369519832986
4 6 8 9 11 13 14 15 16 17 ,0.9937369519832986
4 5 7 8 9 10 11 12 13 14 15 17 18 ,0.6784968684759917
5 6 7 8 11 13 14 15 18 ,0.7974947807933194
4 5 6 8 11 12 13 14 15 ,0.8997912317327766
4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 ,0.6784968684759917
5 6 12 14 ,0.9498956158663883
4 9 11 13 17 ,0.9937369519832986
4 6 7 8 9 10 11 12 13 14 15 16 17 18 ,0.7286012526096033
6 11 12 14 ,1.0
5 6 7 9 12 14 16 ,0.8037578288100209
18 ,1.0
5 6 7 8 13 ,0.8100208768267223
6 8 12 15 ,1.0
5 6 9 11 13 15 ,0.9039665970772442
4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 ,0.6784968684759917
4 5 6 7 9 10 11 13 14 15 16 18 ,0.6784968684759917
4 10 ,0.9937369519832986
5 6 8 9 10 11 12 14 16 17 18 ,0.7995824634655533
4 8 9 11 12 13 17 18 ,0.9937369519832986
4 6 7 8 10 11 12 14 15 16 18 ,0.824634655532359
4 8 9 10 12 13 16 17 18 ,0.9937369519832986
4 6 8 10 13 15 ,0.9937369519832986
4 5 6 7 8 10 16 ,0.7390396659707724
5 7 11 12 13 16 17 18 ,0.7807933194154488
4 5 6 7 9 11 12 14 18 ,0.7849686847599165
4 5 6 9 10 11 12 13 14 15 16 ,0.8997912317327766
4 5 6 8 9 11 12 13 14 15 16 17 18 ,0.8997912317327766
15 ,1.0
4 5 6 7 8 9 10 16 ,0.7390396659707724
5 6 7 9 11 12 14 15 16 17 18 ,0.8705636743215032
4 15 ,0.9937369519832986
5 6 7 8 9 10 12 13 15 16 18 ,0.7703549060542797
5 8 10 11 12 15 16 18 ,0.9039665970772442
4 7 8 9 10 11 14 15 16 17 ,0.824634655532359
4 5 6 7 8 9 10 11 12 13 14 15 16 18 ,0.6784968684759917
6 8 12 ,1.0
